remixid,artistid
OCR03317,13052
OCR00582,4279
OCR00551,4299
OCR00068,4318
OCR00718,4470
OCR00772,4434
OCR02388,5041
OCR02686,4749
OCR02696,4598
OCR01798,4508
OCR00990,4549
OCR00178,4280
OCR01309,4516
OCR02716,4280
OCR02793,9847
OCR02482,4793
OCR00748,4296
OCR03031,5655
OCR03031,4787
OCR03031,4729
OCR01752,4786
OCR01356,4671
OCR00271,4288
OCR01331,4628
OCR02698,4313
OCR02689,10683
OCR02689,12942
OCR00893,4463
OCR01130,51
OCR03025,5043
OCR02694,12943
OCR00255,4320
OCR01762,4803
OCR00206,4328
OCR00401,4715
OCR00401,4334
OCR02700,3617
OCR02718,4479
OCR00286,4298
OCR00163,4304
OCR00701,4326
OCR02721,12541
OCR00638,4434
OCR01330,4619
OCR01864,5041
OCR01864,4627
OCR02699,36
OCR02699,12944
OCR02724,4279
OCR03141,12064
OCR03022,12956
OCR03022,4726
OCR03022,12942
OCR03022,5496
OCR03022,4729
OCR01310,4279
OCR02697,10669
OCR03153,11963
OCR01818,4986
OCR02725,4723
OCR02725,4659
OCR02725,4628
OCR01766,4556
OCR00235,4282
OCR02989,4331
OCR02717,4738
OCR02717,4559
OCR01097,4463
OCR03055,10136
OCR01857,5127
OCR01228,4547
OCR01658,4579
OCR00811,4438
OCR00907,4426
OCR01694,4635
OCR01694,4755
OCR01694,4628
OCR01295,4646
OCR00440,4327
OCR01964,4754
OCR00720,4303
OCR00247,4306
OCR01306,4608
OCR02340,4781
OCR01363,4620
OCR01623,4440
OCR01623,4754
OCR01623,4659
OCR01623,4685
OCR01623,4381
OCR01623,4515
OCR01623,4613
OCR02895,13667
OCR00775,4491
OCR00170,4283
OCR00956,4403
OCR01078,4582
OCR00095,4290
OCR01909,5033
OCR01615,4501
OCR01634,4721
OCR02499,10669
OCR01612,4659
OCR01612,4628
OCR02464,11490
OCR01841,4635
OCR01841,4628
OCR01620,4440
OCR01620,4460
OCR01253,4639
OCR00455,4327
OCR00063,4328
OCR01021,4561
OCR01021,4562
OCR01021,4516
OCR01021,4433
OCR01663,4730
OCR01614,4753
OCR01614,4625
OCR01901,4787
OCR03117,14134
OCR00723,4804
OCR00723,10709
OCR01644,4751
OCR01704,4776
OCR00828,4504
OCR00828,4709
OCR02247,10221
OCR03292,4724
OCR03241,13677
OCR03252,8640
OCR03252,12064
OCR01622,4540
OCR01100,4587
OCR00971,4331
OCR01636,4440
OCR01164,4599
OCR01682,4381
OCR00726,4324
OCR03384,15201
OCR03384,15204
OCR03384,4724
OCR03384,15202
OCR03384,5036
OCR03384,15199
OCR03384,15200
OCR03384,14463
OCR03384,15203
OCR01002,4556
OCR01640,4685
OCR01640,4628
OCR03195,14498
OCR01758,4754
OCR01758,4751
OCR01626,4752
OCR01613,4720
OCR02468,11930
OCR01104,4514
OCR00233,4306
OCR01722,4587
OCR01722,4511
OCR02562,12064
OCR01008,4558
OCR01655,4754
OCR00910,4443
OCR00369,4329
OCR00833,4324
OCR01260,4559
OCR01011,4559
OCR01162,4610
OCR00640,4434
OCR01621,4749
OCR01621,4619
OCR01579,4587
OCR01579,4730
OCR00311,4281
OCR01649,4685
OCR01649,4515
OCR01649,4628
OCR01110,4586
OCR02390,11240
OCR01689,4730
OCR01618,5901
OCR01618,5902
OCR01618,4304
OCR01618,5903
OCR00469,4330
OCR01617,4279
OCR01617,4524
OCR03539,8640
OCR01715,4432
OCR00959,4313
OCR01557,4587
OCR00584,4324
OCR01671,4691
OCR00586,4432
OCR01141,4601
OCR01619,4479
OCR01907,4613
OCR01913,4789
OCR02335,4789
OCR01847,5042
OCR01492,4469
OCR01492,4429
OCR01067,4360
OCR01667,4751
OCR01201,4621
OCR01148,4575
OCR01616,4559
OCR03528,14375
OCR00994,4553
OCR01696,4773
OCR03546,15749
OCR00411,4296
OCR00751,4804
OCR01851,4738
OCR01851,4559
OCR02272,4754
OCR01349,4670
OCR00264,4324
OCR00264,4713
OCR00316,4283
OCR00316,4710
OCR01033,4530
OCR00495,4289
OCR03052,4961
OCR01559,4640
OCR01559,4692
OCR00641,4434
OCR00798,4331
OCR01391,4640
OCR02248,10669
OCR02386,4789
OCR00522,4296
OCR01061,4486
OCR02284,10669
OCR01680,4556
OCR01991,4486
OCR01948,5187
OCR02241,10667
OCR02241,4753
OCR02241,4625
OCR02023,5939
OCR01165,4611
OCR02531,10221
OCR01957,4793
OCR02837,4796
OCR00374,4320
OCR02416,11497
OCR01731,4781
OCR00693,4296
OCR01118,4592
OCR03138,14338
OCR01518,4721
OCR01381,4516
OCR01381,4659
OCR01381,4587
OCR01903,5132
OCR02883,10671
OCR02883,10222
OCR02883,11929
OCR02883,11915
OCR03286,12710
OCR03121,10690
OCR01560,4699
OCR02745,13056
OCR02042,4795
OCR02137,4553
OCR02558,11944
OCR01537,4726
OCR01537,4727
OCR02044,8893
OCR02737,11929
OCR01017,11677
OCR01017,4388
OCR03429,15307
OCR02164,4482
OCR00617,4443
OCR01596,4588
OCR01521,4659
OCR01521,4692
OCR01521,4619
OCR01441,4440
OCR02977,13920
OCR01342,4666
OCR01357,4630
OCR01357,4587
OCR02188,10204
OCR02680,4730
OCR01886,4730
OCR02467,4547
OCR01748,4785
OCR03104,13147
OCR03570,14375
OCR03167,14375
OCR02502,4796
OCR02669,12542
OCR01719,4777
OCR02242,5394
OCR02242,4440
OCR00930,4535
OCR01287,4644
OCR01287,4645
OCR03225,13147
OCR01977,4553
OCR01637,4758
OCR01054,4572
OCR03080,4543
OCR03233,14497
OCR03233,14496
OCR03227,4787
OCR00824,4450
OCR00196,4385
OCR00078,4279
OCR01275,4627
OCR03137,14373
OCR00491,4386
OCR00844,4386
OCR03467,13057
OCR02341,4787
OCR01041,4297
OCR00560,4297
OCR01248,4584
OCR00204,4304
OCR00204,4427
OCR01320,4607
OCR02917,10222
OCR01961,4313
OCR00004,4339
OCR01347,4357
OCR01478,4607
OCR00467,4279
OCR02317,10893
OCR03385,4313
OCR01589,4313
OCR02374,4664
OCR01764,4691
OCR00011,4279
OCR00543,4364
OCR02026,4595
OCR03329,14038
OCR02497,11777
OCR02497,11778
OCR01315,4426
OCR03353,4722
OCR02896,11777
OCR02896,11778
OCR00227,4304
OCR00227,4335
OCR02046,6106
OCR00148,4335
OCR00041,4279
OCR00034,4387
OCR00035,4344
OCR03371,13045
OCR03371,4685
OCR01830,4729
OCR01830,4765
OCR02025,4440
OCR01457,4699
OCR01676,4769
OCR01676,4553
OCR02108,5420
OCR01463,4482
OCR01126,4595
OCR01126,4445
OCR00583,10709
OCR01690,4313
OCR03496,11774
OCR03280,11774
OCR03240,11774
OCR01664,4331
